c0	1
c1	1
c2	1
c3	1
c4	1
c5	1
c6	1
c7	1
c8	1
c9	1
c10	1
c11	1
c12	1
c13	1
c14	1
c15	1
c16	1
c17	1
c18	1
c19	1
c20	1
c21	1
c22	1
c23	1
c24	1
c25	1
c26	1
c27	1
c28	1
c29	1
c30	1
c31	1
c32	1
c33	1
c34	1
c35	1
c36	1
c37	1
c38	1
c39	1
c40	2
c41	2
c42	2
c43	2
c44	2
c45	2
c46	2
c47	2
c48	2
c49	2
c50	2
c51	2
c52	2
c53	2
c54	2
c55	2
c56	2
c57	2
c58	2
c59	2
c60	2
c61	2
c62	2
c63	2
c64	2
c65	2
c66	2
c67	2
c68	2
c69	2
c70	2
c71	2
c72	2
c73	2
c74	2
c75	2
c76	2
c77	2
c78	2
c79	2
c80	2
c81	2
c82	2
c83	2
c84	2
c85	2
c86	2
c87	2
c88	2
c89	2
c90	2
c91	2
c92	2
c93	2
c94	2
c95	2
c96	2
c97	2
c98	2
c99	2
c100	2
c101	2
c102	2
c103	2
c104	2
c105	2
c106	2
c107	2
c108	2
c109	2
c110	2
c111	2
c112	2
c113	2
c114	2
c115	2
c116	2
c117	2
c118	2
c119	2
c120	2
c121	2
c122	2
c123	2
c124	2
c125	2
c126	2
c127	2
c128	2
c129	2
c130	2
c131	2
c132	2
c133	2
c134	2
c135	2
c136	2
c137	2
c138	2
c139	2
c140	2
c141	2
c142	2
c143	2
c144	2
c145	2
c146	2
c147	2
c148	2
c149	2
c150	2
c151	2
c152	2
c153	2
c154	2
c155	2
c156	2
c157	2
c158	2
c159	2
c160	2
c161	2
c162	2
c163	2
c164	2
c165	2
c166	2
c167	2
c168	2
c169	2
c170	2
c171	2
c172	2
c173	2
c174	2
c175	2
c176	2
c177	2
c178	2
c179	2
c180	2
c181	2
c182	2
c183	2
c184	2
c185	2
c186	2
c187	2
c188	2
c189	2
c190	2
c191	2
c192	2
c193	2
c194	2
c195	2
c196	2
c197	2
c198	2
c199	2
c200	2
c201	2
c202	2
c203	2
c204	2
c205	2
c206	2
c207	2
c208	2
c209	2
c210	2
c211	2
c212	2
c213	2
c214	2
c215	2
c216	2
c217	2
c218	2
c219	2
c220	2
c221	2
c222	2
c223	2
c224	2
c225	2
c226	2
c227	2
c228	2
c229	2
c230	2
c231	2
c232	2
c233	2
c234	2
c235	2
c236	2
c237	2
c238	2
c239	2
c240	2
c241	2
c242	2
c243	2
c244	2
c245	2
c246	2
c247	2
c248	2
c249	2
c250	2
c251	2
c252	2
c253	2
c254	2
c255	2
c256	2
c257	2
c258	2
c259	2
c260	2
c261	2
c262	2
c263	2
c264	2
c265	2
c266	2
c267	2
c268	2
c269	2
c270	2
c271	2
c272	2
c273	2
